SMILES,TDDFT_S1,TDDFT_T1
c1cc2c3c4c5c(cccc5cc3c1)-c1cccn1B4n1cccc1-2,1.5734,0.9711
c1cc2c3c(c1)-c1ccc4c5c(ccc(c15)B3c1ccc3c5c(ccc-2c15)CC3)CC4,2.5777,1.8461
c1cc2c3cc1c1ccc4c(c1)c1cc(ccc1[C@]15OCCO[C@]41OCCO5)c1ccc4c(c1)c1cc(ccc1[C@]15OCCO[C@]41OCCO5)c1ccc(c3c1)[C@]13OCCO[C@]21OCCO3,3.7676,2.6676
c1cc2c3c(c1)-c1ccc4ccccc4c1NB3Nc1c-2ccc2ccccc12,3.2121,2.3642
c1cc2c3c(c1)-c1cccc4cccc(c14)B3c1cccc3cccc-2c13,2.6677,1.9054
c1cc2c3c(c1)-c1cccc4ccn(c14)B3n1ccc3cccc-2c31,3.3694,2.5813
c1cc2c3c(c1)ccc1cccc(c13)C2,3.9688,2.7267
c1cc2c3c(c1)ccc1[n+]3[B-]3(Oc4cccc5ccc6[n+](c45)[B-](O2)(O3)n2c-6cc3c4ccccc4c4ccccc4c32)n2c-1cc1c3ccccc3c3ccccc3c12,2.3953,1.856
c1cc2c3c(c1)oc1cccc(c13)CC2,4.4524,3.0804
C1=CC2C3C=CC1C=CC23,4.3448,2.5786
C1=CC2C3CCC2C3C=C1,4.0954,2.3334
C1=Cc2c3ccc4ccccc4c3cc3cccc1c23,2.6645,1.7585
C1=CC2C3C=CC(C3)C2C1,5.6302,3.6177
C1=Cc2c3cccc4cc5c(c6c(cc7c6c6c(cc(c26)C1)=CC7)=CC5)c43,1.3161,0.5553
c1cc2c3c(cccc3c1)-c1c-2c2c(c3c1-c1cccc4cccc-3c14)-c1cccc3cccc-2c13,2.7205,2.0271
c1cc2c3c(cccc3c1)-c1c-2c2ccccc2c2ccccc12,2.6704,1.904
c1cc2c3c(cccc3c1)-c1c-2ccc2c1ccc1ccccc12,2.9283,2.1916
c1cc2c3c(cccc3c1)-c1c-2ccc2ccc3ccccc3c12,2.8398,2.1271
c1cc2c3c(cccc3c1)-c1cc3c(ccc4ccccc43)cc1-2,3.1238,2.2449
c1cc2c3c(cccc3c1)CC2,4.2303,2.6875
c1cc2c3c(cccc3c1)C(N1CCOCCNCCOCCOCC1)=N2,2.7396,1.8496
c1cc2c3c(cccc3c1)C(N1CCOCCOCCN(C3=Nc4cccc5cccc3c45)CCOCC1)=N2,2.7264,1.8505
c1cc2c3c(cccc3c1)C(N1CCOCCOCCOCCOCC1)=N2,2.7588,1.8592
