,SMILES,xTB_S1,xTB_T1,T1S1ratio
47675,C(=C\1/C(=C(\CC(F)(F)F)/CBr)/C(=C(/CBr)\CC(F)(F)F)/C1=C(/CBr)\CC(F)(F)F)(/CBr)\CC(F)(F)F,3.1157818281823007,1.3595626267874983,0.43634718403266587
448150,CSc1cccc2c(N)c3nnoc3cc12,3.013044327809872,1.973376406464579,0.6549443658198653
434042,Oc1nsc2c(C(F)(F)F)c3cnncc3cc12,2.8564492036417035,2.0535811861448403,0.7189279555634029
329419,COc1ccc2ccc3ccc(S(=O)(=O)O)nc3c2n1,3.809188216796216,2.7510842060988567,0.7222232269774015
108355,FB1N(C(Cl)(Cl)C(Br)(Br)C(Cl)(Cl)C(Cl)(Br)Br)B(F)N(C(Cl)(Cl)C(Br)(Br)C(Cl)(Cl)C(Cl)(Br)Br)B(F)N1C(Cl)(Cl)C(Br)(Br)C(Cl)(Cl)C(Cl)(Br)Br,3.810757623593228,3.467917171628579,0.9100335193605468
469304,c1ccc(-c2cc3ccccc3cc2-c2c3ccc(-n4c(-c5ccccc5)ccc4-c4ccccc4)cc3c(-c3cc4ccccc4cc3-c3ccccc3)c3ccc(-n4c(-c5ccccc5)ccc4-c4ccccc4)cc23)cc1,2.625310299549059,1.680524605572868,0.6401241810773858
511066,Cn1cc(-c2cc3nccnc3[nH]2)c2cc(C(=O)O)ccc21,3.4750938522026287,2.4931052771703204,0.7174209915482163
326340,COc1nc2ccccc2c2c(SC)cccc12,3.641745330357269,2.69269360768024,0.7393964606020589
429765,Nc1ccc(N)c2cc3sncc3cc12,2.7507033932531284,1.901344052944841,0.6912210373566342
428665,CN(C)c1nncc2c(S(=O)(=O)O)c3nonc3cc12,2.4557941152030884,1.3868872693238854,0.564740855407251
544474,CC1(C)OB(c2ccc3c(c2)c2ccccc2n3Cc2ccccc2)OC1(C)C,3.907224681279149,3.0643560106109184,0.7842794465578847
581655,CC1=CCO[C@H]1C#N,5.554664576617819,3.7757242221901857,0.6797393740180054
255313,O=[N+]([O-])c1cc(C(F)(F)F)c2ccccc2c1,3.353368604202489,2.5100758240547663,0.7485236847834454
473266,O=C1C(=Cc2sc(N(c3ccccc3)c3cccc(-c4ccccc4)c3)c3ccccc23)C(=O)c2cc3ccccc3cc21,2.209873221313023,1.3423923481890623,0.6074521991770477
482641,CCc1c(CC)c2c(c(CC)c1C)C(C)(C)c1c(CC)c(C)c(CC)c(CC)c1-2,4.120754204627135,2.8052218397185102,0.6807544688223742
29370,C[C@@H]1CN=C(S1)NC(C)C,5.10778844041201,4.3092105784384716,0.8436548672111561
285766,COc1cc2oc3cc(OC)oc3c2o1,4.045478755042532,2.730026039551284,0.6748338589464629
172913,n12c3-c4c([C](C1=O)c1ncc(cc1)Cl)c1c(n4C(=O)[C](c3c3c2ccc(n3)O)c2ccc(cn2)Cl)ccc(n1)O,2.184661991091839,1.039083071190652,0.4756264701027478
208591,COc1nc(nnc1C=NN=Cc1ccccc1)c1ccccc1,2.993578005847224,2.179835697388974,0.7281706683878613
